#sortabletable(|String|String|String|Number|String|String|String|String|Number|Number|Number|Number|Number|String|String|String,1){{
|~画像|~名前|~属性|~武器種|~適正&br;Rank|~奥義|~第1スキル|~第2スキル|~第3スキル|~MAX&br;Lv|~Min&br;HP|~Min&br;ATK|~Max&br;HP|~Max&br;ATK|~武器シリーズ/分類|~カテゴリ1&br;(関連コンテンツ)|~カテゴリ2&br;(詳細・その他)|h
|&attachref(img/1040101100.png,15%);|不死鳥の嘴刃|COLOR(red):火|短剣|10|[[真・降焔>武器奥義#sinkouen]]|[[紅蓮の守護>スキル一覧#gurennosyugo]]||||29|320|190|1930|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|降焔祭|
|&attachref(img/1040101200.png,15%);|ネフティスクリス|COLOR(green):風|短剣|10|[[ヘウト・レクイエム>武器奥義#heut]]|[[乱気の守護>スキル一覧#rannkinosyugo]]||||30|315|192|1930|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|臆病勇者と囚われの姫君|
|&attachref(img/1040101300.png,15%);|ダイヤモンドエッジ|COLOR(orange):光|短剣|15|[[セブンス・ペイン>武器奥義#seventhpainedge]]|[[天光の守護>スキル一覧#tennkounosyugo]]||||40|400|245|2450|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[レ・フィーエ (SSR)水着バージョン]]加入|
|&attachref(img/1040101400.png,15%);|世界樹の雫刃・マグナ|COLOR(brown):土|短剣|50|[[ネザーマントル++>武器奥義#nethermantleend]]|[[創樹方陣・守護II>スキル一覧#soujyuhoujinsyugo2]]|||200|36|345|254|2520|[[マグナシリーズ>武器概要/マグナシリーズ]]|マルチバトル/マグナボス|[[ユグドラシル・マグナ討伐戦>NORMALマルチバトル攻略法/マグナボス#m5bdb2f1]]|
|&attachref(img/1040101500.png,15%);|レヴィアンゲイズ・マグナ|COLOR(blue):水|短剣|50|[[水鏡++>武器奥義#mizukagamiend]]|[[海神方陣・攻刃II>スキル一覧#kaijinhoujinkoujin2]]|||200|37|340|255|2520|[[マグナシリーズ>武器概要/マグナシリーズ]]|マルチバトル/マグナボス|[[リヴァイアサン・マグナ討伐戦>NORMALマルチバトル攻略法/マグナボス#j6a9b5c5]]|
|&attachref(img/1040101600.png,15%);|ヘルウォードダガー|COLOR(purple):闇|短剣|10|ヘルウォード・ダムネーション|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[闇の二手>スキル一覧#yaminonite]]||150|27|330|221|2275|[[討滅戦武器>武器概要/討滅戦武器]]|討滅戦|ケルベロス討滅戦|
|&attachref(img/1040101800.png,15%);|雷公刃ユピテル|COLOR(orange):光|短剣|20|[[ライトニングバニッシュ++>武器奥義#lightningbash]]|[[天光の攻刃>スキル一覧#tenkounokoujin]]|[[大胆不敵>スキル一覧#daitanfuteki]]||150|41|415|289|2890|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[アギエルバ (SSR)]]加入|
|&attachref(img/1040101900.png,11.25%);|コムラビ|COLOR(purple):闇|短剣|15|[[キル>武器奥義#kill]]|[[奈落の守護>スキル一覧#narakunosyugo]]||||37|430|240|2460|特典|ポイントショップ|ラッキーガチャ1等報酬(終了)&br;[[Vポイント交換>ポイントショップ]]|
|&attachref(img/1040102000.png,15%);|トリック・オア・トリート|COLOR(red):火|短剣|15|[[トリック・オア・トリート>武器奥義#trickortreat]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]||||39|420|242|2450|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[シャルロッテ (SSR)ハロウィンバージョン]]加入|
|&attachref(img/1040102100.png,15%);|霧氷剣ペルソス|COLOR(blue):水|短剣|10|[[白宝刃++>武器奥義#hakuhou]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[忠義の瞬刃>スキル一覧#tyuuginosyunshin]]||150|42|390|282|2790|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ランスロット (SSR)]]加入|
|&attachref(img/1040103800.png,15%);|ヘヴンズクラウド|COLOR(green):風|短剣|10|[[ネイチャーワンダース++>武器奥義#neiwan]]|[[天を統べる強風>スキル一覧#tenwosuberu]]|[[天光の守護>スキル一覧#tennkounosyugo]]||150|39|405|279|2800|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ペトラ (SSR)]]加入|
|&attachref(img/1040103900.png,15%);|秘丹弥虚羅多包丁|COLOR(blue):水|短剣|10|[[秘丹弥虚羅多説法++>武器奥義#seppou]]|[[アンノウン・ATK II>スキル一覧#unkown_atk2]]|||150|33|300|227|2240|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|シンデレラファンタジー ～迷える魂よ、安らかに ～|
|&attachref(img/1040105400.png,15%);|[[エターナル・ラヴ>武器/エターナル・ラヴ (SSR)]]|COLOR(green):風|短剣|40|[[ブルー・ローゼス++>武器奥義#bluerozes]]|[[乱気の攻刃III>スキル一覧#rannkinokoujin3]]|[[竜巻の無双>スキル一覧#tatsumakinomusou]]||150|43|445|320|3200|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(レジェンドフェス)|[[ロゼッタ (リミテッド)>ロゼッタ (SSR)]]加入|
|&attachref(img/1040106300.png,15%);|[[アルセーヌ>武器/アルセーヌ (SSR)]]|COLOR(brown):土|短剣|15|[[ラヴィン・ユー>武器奥義#lovinyou]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[土の技巧>スキル一覧#tutinogikou]]||150|42|400|245|2435|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[キャサリン (SSR)]]加入|
|&attachref(img/1040106400.png,15%);|[[オールド・コルタナ>武器/オールド・コルタナ (SSR)]]|COLOR(purple):闇|短剣|60|[[カウムディー++>武器奥義#kaumudi]]|[[黒霧方陣・暴君>スキル一覧#kurogirihoujinboukun]]|[[黒霧方陣・三手>スキル一覧#kurogirihoujinsante]]||150|32|379|260|2710|[[オールド・プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(降臨、調停の翼)|オリヴィエ討伐戦|
|&attachref(img/1040106500.png,15%);|[[コルタナ>武器/コルタナ (SSR)]]|COLOR(purple):闇|短剣|60|[[カウムディー++>武器奥義#kaumudi]]|[[奈落の暴君>スキル一覧#narakunoboukun]]|[[奈落の三手>スキル一覧#narakunosante]]||150|32|379|260|2710|[[プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(降臨、調停の翼)|オリヴィエ討伐戦|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(red):火|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(blue):水|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(brown):土|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(green):風|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(orange):光|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040106600.png,15%);|[[ダマスカスナイフ>武器/ダマスカスナイフ (SSR)]]|COLOR(purple):闇|短剣|50|[[失伝の刃>武器奥義#situdennoyaiba]]|[[仄暗い稼業>スキル一覧#honoguraikagyou]]|[[引き際の心得>スキル一覧#hikigiwanokokoroe]]|||41|472|267|2732|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040107300.png,15%);|[[ダガー・オブ・コスモス>武器/ダガー・オブ・コスモス (SSR)]]|COLOR(orange):光|短剣|80|[[メディエーションバイト＋>武器奥義#medibite]]|[[ダガー・オブ・コスモス>スキル一覧#docosmos]]|[[秩序の蒼刃(習得Lv150)>スキル一覧#titujonosoujin]]||150|38|379|234|2341|[[コスモスシリーズ>武器概要/コスモスシリーズ]]|マルチバトル/降臨、調停の翼|ディール/トレジャー交換|
|&attachref(img/1040107800.png,15%);|デュアルヘリックス|COLOR(orange):光|短剣|20|[[スクルーエレメン>武器奥義#screwelemen]]|[[天光の攻刃>スキル一覧#tenkounokoujin]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|||41|410|247|2470|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ロザミア (SSR)]]加入|
|&attachref(img/1040107900.png,15%);|スパルナフェザー|COLOR(green):風|短剣|60|[[フェザーサークル>奥義一覧#feathercircle]]|[[風の治癒>スキル一覧#kazenotiyu]]|[[乱気の攻刃>スキル一覧#rannkinokoujin]]||150|35|364|221|2226|[[プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(神撃・究極の竜)|ガルーダ討伐戦|
|&attachref(img/1040108000.png,15%);|ファントムシーフナイフ|COLOR(blue):水|短剣|20|[[スティルフェイト>武器奥義#stillfate]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[水の見切>スキル一覧#mizunomikiri]]|||42|390|241|2380|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[シャノワール (SSR)]]加入|
|&attachref(img/1040108100.png,15%);|[[ブラッディスカー>武器/ブラッディスカー (SSR)]]|COLOR(purple):闇|短剣|10|[[シークレット・クリムゾン>武器奥義#secretcrimson]]|[[奈落の技巧>スキル一覧#narakunogikou]]|[[闇の攻刃>スキル一覧#yaminokoujin]]||150|38|410|241|2380|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ヴァイト (SSR)]]加入|
|&attachref(img/1040108200.png,15%);|[[リユニオン>武器/リユニオン (SSR)]]|COLOR(green):風|短剣|40|[[スカイデパーチャー++>武器奥義#skydepacher]]|[[乱気の攻刃III>スキル一覧#rannkinokoujin3]]|[[風の神威>スキル一覧#kazenosini]]||150|42|450|310|3200|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(レジェンドフェス)|[[リーシャ(リミテッド)>リーシャ (SSR)]]加入|
|&attachref(img/1040108300.png,15%);|[[デルタ・クォーツ>武器/デルタ・クォーツ (SSR)]]|COLOR(red):火|短剣|10|[[デルタブリンガー>武器奥義#deltablinger]]|[[紅蓮の三手>スキル一覧#gurennosante]]|[[業火の見切>スキル一覧#goukanomikiri]]||150|36|425|216|2495|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ベアトリクス (SSR)水着バージョン]]加入|
|&attachref(img/1040108400.png,15%);|ローズクリスタルナイフ|COLOR(green):風|短剣|60|[[ドミネイションスラッシュ>奥義一覧#dominationslash]]|[[翠薔薇の棘>スキル一覧#midoribaranotoge]]|[[翠薔薇の花弁>スキル一覧#midoribaranokaben]]|||35|365|220|2225|[[ローズシリーズ>武器概要/ローズシリーズ]]|マルチバトル/ローズクイーン討伐戦HL|トレジャー交換|
|&attachref(img/1040108500.png,15%);|銀の依代の刃|COLOR(orange):光|短剣|1|[[銀の瞬き>武器奥義#ginnomatataki]]|[[残夢の匣>スキル一覧#zanmunohako]]|無し||100|27|267|187|1870|依代武器|エクストラクエスト/ディメンション・ヘイロー|－|
|&attachref(img/1040108600.png,15%);|黄金の依代の刃|COLOR(orange):光|短剣|1|[[黄金の瞬き>武器奥義#ougonomatataki]]|[[鼓動>スキル一覧#kodou]]|無し||100|28|276|193|1930|依代武器|銀の依代武器を特殊武器強化|－|
|&attachref(img/1040108700.png,15%);|[[パラゾニウム>武器/パラゾニウム (SSR)]]|COLOR(purple):闇|短剣|40|[[リゾブル・ソウル++>武器奥義#rezobulsoul]]|[[奈落の攻刃III>スキル一覧#narakunokoujin3]]|[[闇の三手>スキル一覧#yaminosante]]||150|40|459|310|3200|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(グランデフェス)|[[オーキス(リミテッド)>オーキス (SSR)]]加入|
|&attachref(img/1040108800.png,15%);|ダンデライオン|COLOR(green):風|短剣|10|[[真心の愛>武器奥義#magokoronoai]]|[[愛の信託>スキル一覧#ainoshintaku]]|[[貴方へ贈る言葉>スキル一覧#anataheokurukotoba]]|||30|314|191|1926|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|粧して臨めよ花戦|
|&attachref(img/1040108900.png,15%);|女王の一刺し|COLOR(brown):土|短剣|10|[[クイーンスティング>武器奥義#queensting]]|[[ロイヤルギフト>スキル一覧#royalgift]]|[[ロイヤルアフェクション>スキル一覧#royalaffection]]|||32|305|194|1915|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|お子様ランチ de OH MY リュミエ～ル♪|
|&attachref(img/1040109000.png,15%);|[[ル・フェイ>武器/ル・フェイ (SSR)]]|COLOR(green):風|短剣|60|[[テスラ>武器奥義#tesura]]|[[乱気の暴君>スキル一覧#rannkinoboukun]]|[[乱気の三手>スキル一覧#rannkinosante]]||150|40|340|241|2127|[[エピックウェポン>武器概要/エピックウェポン]]|マルチバトル/エピックHL|バイヴカハHL|
|&attachref(img/1040110300.png,15%);|[[ニーベルン・メッサー>武器/ニーベルン・メッサー (SSR)]]|COLOR(brown):土|短剣|120|[[ラーグルフ>武器奥義#rarg]]|[[創樹方陣・背水>スキル一覧#soujuhaisui]]|[[イクシード・アース>スキル一覧#ikusid]]||150|37|354|223|2216|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|ブローディアHL|
|&attachref(img/1040110400.png,15%);|[[ミトロンの宝剣>武器/ミトロンの宝剣 (SSR)]]|COLOR(orange):光|短剣|120|[[昴>武器奥義#subaru]]|[[騎解方陣・刹那>スキル一覧#kikaihoujinsetuna]]|[[騎解方陣・背水>スキル一覧#kikaihoujinhaisui]]||150|36|359|260|2590|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|メタトロンHL|
|&attachref(img/1040110500.png,15%);|[[セフィラの翠刃>武器/セフィラの翠刃 (SSR)]]|COLOR(red):火|短剣|60|[[フォービドゥンスライサー>武器奥義#forbiddenslyser]]|[[機炎方陣・攻刃II>スキル一覧#kienhoujinkoujin2]]|[[セフィラテック・ファイア>スキル一覧#sefiraticfire]]|| |34|370|220|2235|[[セフィリアン・オールドウェポン>武器概要/セフィリアン・オールドウェポン]]|[[アーカルムの転世]]|アーカルム ポイント交換&br;探索で直接ドロップ|
|&attachref(img/1040110600.png,15%);|[[刃鏡片>武器/刃鏡片 (SSR)]]|COLOR(brown):土|短剣|40|[[剣盾一体>武器奥義#kentateittai]]|[[地裂の無双II>スキル一覧#tiretsunomusou2]]|[[土の刃界>スキル一覧#tutinojinkai]]||150|42|428|272|2630|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(グランデフェス)|[[ブローディア(リミテッド)>ブローディア (SSR)]]加入|
|&attachref(img/1040110700.png,15%);|[[トーニーローズ>武器/トーニーローズ (SSR)]]|COLOR(brown):土|短剣|10|[[ストーン・ローゼス>武器奥義#stonerozes]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[先制の岩壁>スキル一覧#senseinogannpeki]]|||42|390|240|2385|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ロゼッタ (SSR)水着バージョン]]加入|
|&attachref(img/1040110800.png,15%);|[[サンシャインブレード>武器/サンシャインブレード (SSR)]]|COLOR(blue):水|短剣|10|[[コーリングアイドル>武器奥義#callingidol]]|[[サンシャイナー>スキル一覧#sunshiner]]|[[輝きの道しるべ>スキル一覧#kagayakinomitisirube]]||150|39|299|230|2310|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|ラブライブ！サンシャイン!! Aqours スカイハイ！|
|&attachref(img/1040110900.png,15%);|[[牛鬼包丁>武器/牛鬼包丁 (SSR)]]|COLOR(purple):闇|短剣|10|[[カラクレナイ>武器奥義#karakurenai]]|[[紅ニ染マル刃>スキル一覧#akanisomaruyaiba]]|[[鬼参ル丑ノ刻>スキル一覧#onimairu]]|||20|349|155|2106|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|白詰草想話|
|&attachref(img/1040111000.png,15%);|[[ハツオイイルハル>武器/ハツオイイルハル (SSR)]]|COLOR(green):風|短剣|60|[[シュヴァルツ・ネーベル>武器奥義#syuvaultnevel]]|[[イクシード・ウィンド>スキル一覧#ikusidowind]]|[[乱気の背水>スキル一覧#rannkinohaisui]]||150|35|365|270|2700|[[マリスシリーズ>武器概要/マリスシリーズ]]|マルチバトル/マリスHL|ティアマト・マリスHL|
|&attachref(img/1040111100.png,15%);|[[ガンドリン>武器/ガンドリン (SSR)]]|COLOR(purple):闇|短剣|10|[[ペイルブルー>武器奥義#paleblue]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[イクシード・ダーク>スキル一覧#limitbreakdark]]||150|40|400|250|2360|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ターニャ (SSR)]]加入|
|&attachref(img/1040111200.png,15%);|[[レター>武器/レター (SSR)]]|COLOR(orange):光|短剣|10|[[マイ・ディア>武器奥義#mudear]]|[[雷電の攻刃>スキル一覧#raidennnokoujin]]|[[雷電の克己>スキル一覧#raidennnokokki]]|||40|399|235|2412|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ハールート・マールート (SSR)水着バージョン]]加入|
|&attachref(img/1040111300.png,15%);|[[冬ノ霜柱>武器/冬ノ霜柱 (SSR)]]|COLOR(blue):水|短剣|1|[[隆氷透徹>武器奥義#kouhyou]]|[[海神方陣・刹那II>スキル一覧#kaijinhoujinsetuna2]]|[[海神方陣・背水>スキル一覧#kaijinhoujinhaisui]]||150|32|290|228|2249|[[四象武器(四属性)>武器概要/四象武器]]|イベント/四象降臨|－|
|&attachref(img/1040111400.png,15%);|[[クリスタルベルフラワー>武器/クリスタルベルフラワー (SSR)]]|COLOR(blue):水|短剣|10|[[クリスタル・フロス>武器奥義#crystalflos]]|[[渦潮の恩寵>スキル一覧#uzusionoontyou]]|[[渦潮の三手>スキル一覧#uzusionosante]]|||42|389|245|2385|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[エウロペ (SSR)水着バージョン]]加入|
|&attachref(img/1040111500.png,15%);|[[ラブライブ！ライト>武器/ラブライブ！ライト (SSR)]]|COLOR(orange):光|短剣|10|[[ミュージックスタート！>武器奥義#musicstart]]|[[ワン・ライト>スキル一覧#onelight]]|[[みんなで叶える物語>スキル一覧#minnadekanaeru]]||150|31|309|231|2324|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|ラブライブ！ ソラノトビラ|
|&attachref(img/1040112200.png,15%);|[[タミン・サリ>武器/タミン・サリ (SSR)]]|COLOR(orange):光|短剣|10|[[レジェンダリー・シャイン>武器奥義#legendary]]|[[天光の攻刃>スキル一覧#tennkounokoujin]]|[[光の守護>スキル一覧#hikarinosyugo]]&br;[[英雄の体躯>スキル一覧#eiyuunotaiku]]||150|38|410|235|2415|[[ヴィンテージシリーズ>武器概要/ヴィンテージシリーズ]]|ムーン交換|ゴールドムーン×30|
|&attachref(img/1040112300.png,15%);|[[ヒュプノスクリス>武器/ヒュプノスクリス (SSR)]]|COLOR(blue):水|短剣|60|[[ヴォイドリージョン>武器奥義#voidregion]]|[[渦潮の無双>スキル一覧#uzushionomusou]]|[[イクシード・ウォータ>スキル一覧#ikusidwater]]||150|38|349|271|2677|[[マリスシリーズ>武器概要/マリスシリーズ]]|マルチバトル/マリスHL|リヴァイアサン・マリスHL|
|&attachref(img/1040112500.png,15%);|[[アーク>武器/アーク (SSR)]]|COLOR(orange):光|短剣|10|[[オール・コーデシュ>武器奥義#allcodesh]]|[[天光の刹那>スキル一覧#tenkounosetuna]]|[[光の恩寵>スキル一覧#hikarinoontyou]]||150|44|439|263|2632|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(レジェンドフェス)|[[ノア(リミテッド)>ノア (SSR)]]加入|
|&attachref(img/1040112600.png,15%);|[[ドス>武器/ドス (SSR)]]|COLOR(red):火|短剣|10|[[御命頂戴>武器奥義#oinotityoudai]]|[[紅蓮の背水>スキル一覧#gurennohaisui]]|[[火の技巧>スキル一覧#hinogikou]]||150|38|409|230|2440|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ユイシス (SSR)火属性バージョン]]加入|
|&attachref(img/1040112700.png,15%);|[[降魔の包丁>武器/降魔の包丁 (SSR)]]|COLOR(orange):光|短剣|10|[[惨劇の暗翳>武器奥義#sangekinoanei]]|[[天光の背水>スキル一覧#tenkounohaisui]]|[[光の技巧>スキル一覧#hikarinogikou]]|||26|469|201|2582|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ダヌア (SSR)光属性バージョン]]加入|
|&attachref(img/1040112800.png,15%);|[[十天光輝の懐剣>武器/十天光輝の懐剣 (SSR)]]|COLOR(blue):水|短剣|10||||||||||十天光輝|フリークエスト/光輝を求めし者|(武器スキン用)|
|&attachref(img/1040112900.png,15%);|[[ライトオープナー>武器/ライトオープナー (SSR)]]|COLOR(blue):水|短剣|10|[[アクセスカット>武器奥義#accesscut]]|[[開封の攻刃>スキル一覧#kaihuunokoujin]]|[[鎧切り>スキル一覧#yoroikiri]]|||31|309|192|1921|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|熱闘！ 真夏のフードファイト！|
|&attachref(img/1040113000_.png,15%);|[[風信子の護剣>武器/風信子の護剣 (SSR)]]|COLOR(brown):土|短剣|10|[[ジルコン・スタブ>武器奥義#peridotstab]]|[[創樹方陣・攻刃II>スキル一覧#soujyuhoujinkoujin2]]|[[創樹方陣・進境II>スキル一覧#soujyuhoujinshinkyou2]]||150|32|304|193|1916|[[四象武器(四属性)>武器概要/四象武器]]|イベント/四象降臨|－|
|&attachref(img/1040113100.png,15%);|[[ブラックローズ>武器/ブラックローズ (SSR)]]|COLOR(blue):水|短剣|10|[[ブラック・バカラ>武器奥義#blackbaccarat]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[水の技巧>スキル一覧#mizunogikou]]|||42|389|241|2382|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ロゼッタ (SSR)ハロウィンバージョン]]加入|
|&attachref(img/1040113200.png,15%);|[[ペイン・オブ・デス>武器/ペイン・オブ・デス (SSR)]]|COLOR(dark):闇|短剣|60|[[死の舞踏>武器奥義#shinobutou]]|[[恋人と死の終焉>スキル一覧#koibitonoshi]]|[[セフィラマキシ・ダーク>スキル一覧#sefiramaxidark]]|| |32|379|218|2241|[[新世界の礎>武器概要/新世界の礎]]|[[レプリカルド・サンドボックス]]|「新世界の礎」でトレジャー交換|
|&attachref(img/1040113300.png,15%);|[[ミミングバゼラード>武器/ミミングバゼラード (SSR)]]|COLOR(purple):闇|短剣|10|[[チェイスブルーム>武器奥義#chasebrume]]|[[憎悪の刹那>スキル一覧#zouonosetuna]]|[[憎悪の見切>スキル一覧#zouonomikiri]]|||38|409|235|2412|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ゼヘク (SSR)]]加入|
|&attachref(img/1040114800.png,15%);|[[レヴェイエ>武器/レヴェイエ (SSR)]]|COLOR(blue):水|短剣|10|[[イリュジオンフルール>武器奥義#illusionfrur]]|[[霧氷の技巧>スキル一覧#muhyounogikou]]|[[コバルト・クラフト>スキル一覧#cobaltcraft]]||150|40|400|240|2395|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[トルー (SSR)]]加入|
|&attachref(img/1040114900.png,15%);|[[ランセット>武器/ランセット (SSR)]]|COLOR(orange):光|短剣|10|[[リヴァイタライズ>武器奥義#revitalize]]|[[天光の治癒>スキル一覧#tennkounotiyu]]|[[雷電の神威>スキル一覧#raidennosini]]|||50|350|250|2340|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ティコ (SSR)]]加入|
|&attachref(img/1040115100.png,15%);|[[ゾディアコ・ヴィテ>武器/ゾディアコ・ヴィテ (SSR)]]|COLOR(blue):水|短剣||[[スンダランド>武器奥義#sundaland]]|[[渦潮の乱舞>スキル一覧#uzusionoranbu]]|[[フラッドオブネイルズ>スキル一覧#floodofnails]]||150|38|370|230|2440|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ヘレル・ベン・シャレム (SSR)水着バージョン]]加入|
|&attachref(img/1040115200.png,15%);|[[ボン・ジョワ>武器/ボン・ジョワ (SSR)]]|COLOR(green):風|短剣||[[フェリシテ>武器奥義#felicite]]|[[乱気の秘奥>スキル一覧#rankinohioku]]|[[ジェイド・アーツ>スキル一覧#jeidarts]]|||35|424|235|2412|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ランドル (SSR)]]加入|
|&attachref(img/1040115300.png,15%);|[[六韜軍配>武器/六韜軍配 (SSR)]]|COLOR(red):火|短剣||[[紅羽舞炎>武器奥義#kouumaien]]|[[業火の刹那>スキル一覧#goukanosetuna]]|[[イクシード・ファイア>スキル一覧#exceedfire]]|[[スカーレット・クラフト>スキル一覧#scarletcraft]]|150|33|434|215|2512|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[アルタイル(クリスマスver) (SSR)>アルタイル (SSR)クリスマスバージョン]]加入|
